trial,attempt,success,planning_time_sec,path_length,smoothness,total_cost
0,0,1,0.0576,2.054,0.000,2.054
0,1,1,0.0836,2.052,0.000,2.053
0,2,1,0.0513,2.055,0.000,2.055
0,3,1,0.0683,2.054,0.000,2.054
0,4,1,0.0655,2.053,0.000,2.053
0,5,1,0.0483,2.053,0.000,2.053
