trial,attempt,success,planning_time_sec,path_length,smoothness,total_cost
0,0,1,3.6622,6.597,0.001,6.597
0,1,0,30.0118,0.000,0.000,999.000
0,2,0,30.0155,0.000,0.000,999.000
0,3,1,25.9243,11.590,0.001,11.591
0,4,0,30.0083,0.000,0.000,999.000
0,5,1,15.5537,4.941,0.000,4.942
