trial,attempt,success,planning_time_sec,path_length,smoothness,total_cost
0,0,1,0.4098,2.054,0.000,2.054
0,1,1,0.3176,2.050,0.000,2.050
0,2,1,0.3203,2.054,0.000,2.054
0,3,1,0.1476,2.054,0.000,2.054
0,4,1,1.3319,2.052,0.000,2.053
0,5,1,0.8520,2.051,0.000,2.051
